mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.017962058385213215,0.007652659444793124,0.004361152648925781,0.0023644974637452563,liblinear,l2,100.0,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 100}",0.8185096153846154,0.8028846153846154,0.8112980769230769,0.8108974358974358,0.006385167247800169,3
0.0033951600392659507,0.0030286226257279563,0.0,0.0,lbfgs,none,10.0,"{'solver': 'lbfgs', 'penalty': 'none', 'C': 10}",,,,,,7
0.010706106821695963,0.0031868185066572007,0.002063194910685221,0.0003240338206559218,liblinear,l1,10.0,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 10}",0.8197115384615384,0.8004807692307693,0.8125,0.8108974358974358,0.007932287609464447,3
0.0014254252115885417,0.0006096176840737086,0.0,0.0,liblinear,elasticnet,0.1,"{'solver': 'liblinear', 'penalty': 'elasticnet', 'C': 0.1}",,,,,,7
0.010231494903564453,0.002037767552018281,0.023942232131958008,0.029786891303676875,newton-cg,l2,0.01,"{'solver': 'newton-cg', 'penalty': 'l2', 'C': 0.01}",0.7908653846153846,0.78125,0.7692307692307693,0.780448717948718,0.008850449533002581,6
0.0015401045481363933,0.0001889784059660993,0.0,0.0,saga,none,0.01,"{'solver': 'saga', 'penalty': 'none', 'C': 0.01}",,,,,,7
0.009918769200642904,0.004885809059034863,0.0021448135375976562,0.00028925240988129057,liblinear,l1,1.0,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 1.0}",0.8221153846153846,0.8004807692307693,0.8137019230769231,0.8120993589743589,0.008904691815261538,1
0.013086557388305664,0.006436330972298554,0.0023892720540364585,0.0006458645138569132,saga,l1,0.1,"{'solver': 'saga', 'penalty': 'l1', 'C': 0.1}",0.8245192307692307,0.796875,0.8064903846153846,0.8092948717948718,0.011458613498457589,5
0.007106781005859375,0.002271789843684871,0.002464930216471354,0.0009126165831652296,newton-cg,l2,10.0,"{'solver': 'newton-cg', 'penalty': 'l2', 'C': 10}",0.8185096153846154,0.8040865384615384,0.8112980769230769,0.811298076923077,0.0058881964970749715,2
0.0019287268320719402,0.000686172628637979,0.0,0.0,sag,elasticnet,0.1,"{'solver': 'sag', 'penalty': 'elasticnet', 'C': 0.1}",,,,,,7
