mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.05689859390258789,0.05801735069431487,0.003714958826700846,0.000815736647714566,newton-cg,l2,10.0,"{'solver': 'newton-cg', 'penalty': 'l2', 'C': 10}",0.8185096153846154,0.8040865384615384,0.8112980769230769,0.811298076923077,0.0058881964970749715,1
0.0023396809895833335,0.0012551735845720369,0.0,0.0,liblinear,elasticnet,0.1,"{'solver': 'liblinear', 'penalty': 'elasticnet', 'C': 0.1}",,,,,,6
0.01648688316345215,0.004975147746616812,0.0031636555989583335,0.000711051701148353,sag,l2,1.0,"{'solver': 'sag', 'penalty': 'l2', 'C': 1.0}",0.8197115384615384,0.8004807692307693,0.8125,0.8108974358974358,0.007932287609464447,3
0.31622640291849774,0.3314868611715679,0.005175193150838216,0.001819511682348622,lbfgs,l2,100.0,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 100}",0.8185096153846154,0.8028846153846154,0.8112980769230769,0.8108974358974358,0.006385167247800169,3
0.0374144713083903,0.030578530519422824,0.004431883494059245,0.0003213081329192161,saga,l2,0.01,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.01}",0.7896634615384616,0.78125,0.7692307692307693,0.780048076923077,0.00838479548736231,5
0.0021080970764160156,0.0001564147021866617,0.0,0.0,lbfgs,elasticnet,1.0,"{'solver': 'lbfgs', 'penalty': 'elasticnet', 'C': 1.0}",,,,,,6
0.02352317174275716,0.0074313122486798925,0.003201564153035482,0.0004529618925747963,sag,l2,10.0,"{'solver': 'sag', 'penalty': 'l2', 'C': 10}",0.8185096153846154,0.8040865384615384,0.8112980769230769,0.811298076923077,0.0058881964970749715,1
0.001651763916015625,0.0002497262102813409,0.0,0.0,sag,elasticnet,1.0,"{'solver': 'sag', 'penalty': 'elasticnet', 'C': 1.0}",,,,,,6
0.001374959945678711,7.137786660631624e-05,0.0,0.0,sag,l1,0.01,"{'solver': 'sag', 'penalty': 'l1', 'C': 0.01}",,,,,,6
0.001300811767578125,0.0001001411012731466,0.0,0.0,sag,l1,10.0,"{'solver': 'sag', 'penalty': 'l1', 'C': 10}",,,,,,6
